Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1,New York Zip Codes,Counties,NYS Municipal Boundaries
NYS-2016-0079,Oak Openings RX ,2016-04-28T00:00:00.000,2016-04-28T00:00:00.000,2016-04-28T00:00:00.000,8,8A,MONROE,RUSH,Prescribed Fire, 3 - Grass - Heavy,5,64.5,42.95930,-77.67826,Unique Area,Rush Oak Openings Unique Area,0.00,0,0,0,0,0,0,"Carpenter,Timothy J",Other,,"{'latitude': '42.9593', 'longitude': '-77.67826'}",401,2093,536
NYS-2016-0078,Gull Bay Preserve,2016-04-25T00:00:00.000,2016-04-25T00:00:00.000,2016-04-29T00:00:00.000,5,5F,WASHINGTON,PUTNAM,Campfire,10 - Timber  - Heavy Litter/Downed Fuels,5,8.0,43.74187,-73.44492,Forest Preserve,,0.00,0,0,0,0,0,0,"Deslauriers,Jacob P",Other,,"{'latitude': '43.74187', 'longitude': '-73.44492'}",142,2184,718
NYS-2016-0077,Long Pond Fire,2016-04-25T00:00:00.000,2016-04-25T00:00:00.000,2016-04-26T00:00:00.000,5,5A,FRANKLIN,DUANE,Power line, 8 - Timber - Light Hardwood Litter,5,1.6,44.68859,-74.31373,Private Property,,0.00,0,0,0,0,0,0,"Gliddi,Thomas ",911 Dispatch,,"{'latitude': '44.68859', 'longitude': '-74.31373'}",278,621,186
NYS-2016-0076,Muddy Brook,2016-04-25T00:00:00.000,2016-04-25T00:00:00.000,2016-04-29T00:00:00.000,3,3A,ULSTER,SHANDAKEN,Debris Burning,10 - Timber  - Heavy Litter/Downed Fuels,5,5.3,42.08098,-74.35124,Private Property,,0.00,0,0,0,0,0,0,"Gierloff,Kenneth ",911 Dispatch,,"{'latitude': '42.08098', 'longitude': '-74.35124'}",257,2182,410
NYS-2016-0075,Adams Road Fire,2016-04-24T00:00:00.000,2016-04-24T00:00:00.000,2016-04-27T00:00:00.000,3,3B,SULLIVAN,MAMAKATING,Incendiary, 9 - Timber - Medium Hardwood Litter,5,9.0,41.61181,-74.46053,Private Property,,0.00,0,0,0,0,0,0,"Gierloff,Kenneth ",911 Dispatch,,"{'latitude': '41.61181', 'longitude': '-74.46053'}",1098,2180,653
NYS-2016-0074,Sam's Point Fire,2016-04-23T00:00:00.000,2016-04-23T00:00:00.000,2016-05-02T00:00:00.000,3,3A,ULSTER,WAWARSING,Incendiary, 4 - Brush - Heavy/Volatile,2,2028.0,41.67448,-74.35117,OPR&HP (State Parks),Sam's Point Preserve,17893.20,0,3,0,0,0,0,"Slade,Kevin M",911 Dispatch,n/a,"{'latitude': '41.67448', 'longitude': '-74.35117'}",116,2182,407
NYS-2016-0073,Hudson River Rec Fire,2016-04-23T00:00:00.000,2016-04-23T00:00:00.000,2016-05-01T00:00:00.000,5,5E,WARREN,WARRENSBURG,Campfire, 9 - Timber - Medium Hardwood Litter,5,29.0,43.40320,-73.87424,Forest Preserve,Lake George Wild Forest,0.00,0,0,0,0,0,0,"Donegan,Evan F",911 Dispatch,,"{'latitude': '43.4032', 'longitude': '-73.87424'}",129,2183,815
NYS-2016-0072,Roosa Fire Tower,2016-04-22T00:00:00.000,2016-04-22T00:00:00.000,2016-04-23T00:00:00.000,3,3B,SULLIVAN,MAMAKATING,Incendiary, 7 - Brush - Understory,5,0.3,41.61757,-74.42664,State Forest/RF Area,Roosa  Gap State Forest,0.00,0,0,0,0,0,0,"Quinn,Logan T",911 Dispatch,,"{'latitude': '41.61757', 'longitude': '-74.42664'}",780,2180,653
NYS-2016-0071,Wolfe's pond,2016-04-22T00:00:00.000,2016-04-22T00:00:00.000,2016-04-24T00:00:00.000,2,2A,RICHMOND,STATEN ISLAND,Incendiary, 8 - Timber - Light Hardwood Litter,3,3.5,40.52546,-74.19726,Other Government,,0.00,0,0,0,0,0,0,"Martin,Russell P",Local P.D.,,"{'latitude': '40.52546', 'longitude': '-74.19726'}",615,2139,585
NYS-2016-0070,Lower Saranac Site 42,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,5,5A,FRANKLIN,HARRIETSTOWN,Campfire, 1 - Grass - Light,5,0.1,44.29789,-74.22086,Forest Preserve,Saranac Lake WIld Forest,0.00,0,0,0,0,0,0,"Giglinto,James ",DEC Dispatch,,"{'latitude': '44.29789', 'longitude': '-74.22086'}",274,621,183
NYS-2016-0069,Rt 28 Fire,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,2016-04-27T00:00:00.000,5,5E,WARREN,WARRENSBURG,Incendiary, 8 - Timber - Light Hardwood Litter,5,8.0,43.55142,-73.82730,Forest Preserve,,0.00,0,0,0,0,0,0,"Dubay,Brian C",Ranger Patrol,,"{'latitude': '43.55142', 'longitude': '-73.8273'}",156,2183,815
NYS-2016-0068,Knock Fire,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,2016-04-29T00:00:00.000,5,5E,WARREN,WARRENSBURG,Incendiary, 8 - Timber - Light Hardwood Litter,5,2.0,43.51757,-73.81470,Forest Preserve,Lake George Wild Forest,0.00,0,0,0,0,0,0,"St. Claire,Mark R",911 Dispatch,,"{'latitude': '43.51757', 'longitude': '-73.8147'}",156,2183,815
NYS-2016-0067,Ocean Breeze #3,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,2016-04-21T00:00:00.000,2,2A,RICHMOND,STATEN ISLAND,Incendiary, 3 - Grass - Heavy,3,4.8,40.58547,-74.07934,Other Government,,0.00,0,0,0,0,0,0,"Martin,Russell P",Other,,"{'latitude': '40.58547', 'longitude': '-74.07934'}",608,2139,585
NYS-2016-0066,Helmer Creek RX,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,2016-04-21T00:00:00.000,8,8A,STEUBEN,RATHBONE,Prescribed Fire, 2 - Grass - Understory,5,9.0,42.17869,-77.35113,Wildlife Management Area,Helmer Creek WMA,0.00,0,0,0,0,0,0,"Carpenter,Timothy J",Ranger Patrol,,"{'latitude': '42.17869', 'longitude': '-77.35113'}",1766,2178,25
NYS-2016-0065,Edelmann Lane Fire,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,2016-04-22T00:00:00.000,4,4A,RENSSELAER,GRAFTON,Equipment, 8 - Timber - Light Hardwood Litter,4,5.8,42.80885,-73.46646,State Forest/RF Area,Pittstown ,0.00,0,0,0,0,0,0,"Hess,Joseph C",911 Dispatch,,"{'latitude': '42.80885', 'longitude': '-73.46646'}",1305,2138,128
